Country,City,Date,Year,Month,Day,Temp
South Africa,Capetown,1995-01-01,1995,1,1,19.33333333333333
South Africa,Capetown,1995-01-02,1995,1,2,19.88888888888889
South Africa,Capetown,1995-01-03,1995,1,3,19.388888888888893
South Africa,Capetown,1995-01-04,1995,1,4,20.83333333333333
South Africa,Capetown,1995-01-05,1995,1,5,21.444444444444443
South Africa,Capetown,1995-01-06,1995,1,6,20.611111111111107
South Africa,Capetown,1995-01-07,1995,1,7,19.0
South Africa,Capetown,1995-01-08,1995,1,8,19.33333333333333
South Africa,Capetown,1995-01-09,1995,1,9,21.666666666666668
South Africa,Capetown,1995-01-10,1995,1,10,23.38888888888889
South Africa,Capetown,1995-01-11,1995,1,11,23.277777777777786
South Africa,Capetown,1995-01-12,1995,1,12,20.222222222222225
South Africa,Capetown,1995-01-13,1995,1,13,21.22222222222222
South Africa,Capetown,1995-01-14,1995,1,14,21.888888888888893
South Africa,Capetown,1995-01-15,1995,1,15,24.944444444444446
South Africa,Capetown,1995-01-16,1995,1,16,22.61111111111111
South Africa,Capetown,1995-01-17,1995,1,17,21.83333333333333
South Africa,Capetown,1995-01-18,1995,1,18,19.72222222222222
South Africa,Capetown,1995-01-19,1995,1,19,21.38888888888889
South Africa,Capetown,1995-01-20,1995,1,20,22.444444444444446
South Africa,Capetown,1995-01-21,1995,1,21,21.666666666666668
South Africa,Capetown,1995-01-22,1995,1,22,20.222222222222225
South Africa,Capetown,1995-01-23,1995,1,23,22.88888888888889
South Africa,Capetown,1995-01-24,1995,1,24,20.777777777777786
South Africa,Capetown,1995-01-25,1995,1,25,19.5
South Africa,Capetown,1995-01-26,1995,1,26,19.83333333333333
South Africa,Capetown,1995-01-27,1995,1,27,19.77777777777777
South Africa,Capetown,1995-01-28,1995,1,28,18.77777777777778
South Africa,Capetown,1995-01-29,1995,1,29,18.833333333333336
South Africa,Capetown,1995-01-30,1995,1,30,19.33333333333333
South Africa,Capetown,1995-01-31,1995,1,31,19.444444444444443
South Africa,Capetown,1995-02-01,1995,2,1,18.833333333333336
South Africa,Capetown,1995-02-02,1995,2,2,21.11111111111111
South Africa,Capetown,1995-02-03,1995,2,3,21.666666666666668
South Africa,Capetown,1995-02-04,1995,2,4,24.444444444444443
South Africa,Capetown,1995-02-05,1995,2,5,23.88888888888889
South Africa,Capetown,1995-02-06,1995,2,6,21.77777777777778
South Africa,Capetown,1995-02-07,1995,2,7,21.0
South Africa,Capetown,1995-02-08,1995,2,8,21.444444444444443
South Africa,Capetown,1995-02-09,1995,2,9,23.833333333333336
South Africa,Capetown,1995-02-10,1995,2,10,21.666666666666668
South Africa,Capetown,1995-02-11,1995,2,11,20.222222222222225
South Africa,Capetown,1995-02-12,1995,2,12,21.444444444444443
South Africa,Capetown,1995-02-13,1995,2,13,20.33333333333333
South Africa,Capetown,1995-02-14,1995,2,14,20.33333333333333
South Africa,Capetown,1995-02-15,1995,2,15,19.444444444444443
South Africa,Capetown,1995-02-16,1995,2,16,20.88888888888889
South Africa,Capetown,1995-02-17,1995,2,17,23.61111111111111
South Africa,Capetown,1995-02-18,1995,2,18,20.88888888888889
South Africa,Capetown,1995-02-19,1995,2,19,20.444444444444443
South Africa,Capetown,1995-02-20,1995,2,20,18.166666666666668
South Africa,Capetown,1995-02-21,1995,2,21,18.833333333333336
South Africa,Capetown,1995-02-22,1995,2,22,20.11111111111111
South Africa,Capetown,1995-02-23,1995,2,23,20.611111111111107
South Africa,Capetown,1995-02-24,1995,2,24,22.38888888888889
South Africa,Capetown,1995-02-25,1995,2,25,23.000000000000004
South Africa,Capetown,1995-02-26,1995,2,26,21.55555555555556
South Africa,Capetown,1995-02-27,1995,2,27,19.55555555555556
South Africa,Capetown,1995-02-28,1995,2,28,20.0
South Africa,Capetown,1995-03-01,1995,3,1,23.166666666666668
South Africa,Capetown,1995-03-02,1995,3,2,23.000000000000004
South Africa,Capetown,1995-03-03,1995,3,3,20.777777777777786
South Africa,Capetown,1995-03-04,1995,3,4,19.72222222222222
South Africa,Capetown,1995-03-05,1995,3,5,20.222222222222225
South Africa,Capetown,1995-03-06,1995,3,6,20.444444444444443
South Africa,Capetown,1995-03-07,1995,3,7,22.944444444444443
South Africa,Capetown,1995-03-08,1995,3,8,19.444444444444443
South Africa,Capetown,1995-03-09,1995,3,9,21.83333333333333
South Africa,Capetown,1995-03-10,1995,3,10,23.72222222222222
South Africa,Capetown,1995-03-11,1995,3,11,19.166666666666668
South Africa,Capetown,1995-03-12,1995,3,12,18.38888888888889
South Africa,Capetown,1995-03-13,1995,3,13,19.944444444444446
South Africa,Capetown,1995-03-14,1995,3,14,22.0
South Africa,Capetown,1995-03-15,1995,3,15,22.88888888888889
South Africa,Capetown,1995-03-16,1995,3,16,22.77777777777778
South Africa,Capetown,1995-03-17,1995,3,17,21.05555555555556
South Africa,Capetown,1995-03-18,1995,3,18,17.444444444444443
South Africa,Capetown,1995-03-19,1995,3,19,16.88888888888889
South Africa,Capetown,1995-03-20,1995,3,20,18.277777777777786
South Africa,Capetown,1995-03-21,1995,3,21,19.5
South Africa,Capetown,1995-03-22,1995,3,22,20.500000000000004
South Africa,Capetown,1995-03-23,1995,3,23,20.11111111111111
South Africa,Capetown,1995-03-24,1995,3,24,21.27777777777778
South Africa,Capetown,1995-03-25,1995,3,25,17.555555555555557
South Africa,Capetown,1995-03-26,1995,3,26,17.166666666666668
South Africa,Capetown,1995-03-27,1995,3,27,21.05555555555556
South Africa,Capetown,1995-03-28,1995,3,28,19.222222222222214
South Africa,Capetown,1995-03-29,1995,3,29,16.11111111111111
South Africa,Capetown,1995-03-30,1995,3,30,16.944444444444443
South Africa,Capetown,1995-03-31,1995,3,31,16.055555555555557
South Africa,Capetown,1995-04-01,1995,4,1,18.833333333333336
South Africa,Capetown,1995-04-02,1995,4,2,17.38888888888889
South Africa,Capetown,1995-04-03,1995,4,3,18.000000000000004
South Africa,Capetown,1995-04-04,1995,4,4,17.88888888888889
South Africa,Capetown,1995-04-05,1995,4,5,16.38888888888889
South Africa,Capetown,1995-04-06,1995,4,6,18.61111111111111
South Africa,Capetown,1995-04-07,1995,4,7,17.444444444444443
South Africa,Capetown,1995-04-08,1995,4,8,15.11111111111111
South Africa,Capetown,1995-04-09,1995,4,9,17.0
South Africa,Capetown,1995-04-10,1995,4,10,18.61111111111111
South Africa,Capetown,1995-04-11,1995,4,11,17.0
South Africa,Capetown,1995-04-12,1995,4,12,17.055555555555557
South Africa,Capetown,1995-04-13,1995,4,13,14.27777777777778
South Africa,Capetown,1995-04-14,1995,4,14,16.11111111111111
South Africa,Capetown,1995-04-15,1995,4,15,13.777777777777777
South Africa,Capetown,1995-04-16,1995,4,16,13.11111111111111
South Africa,Capetown,1995-04-17,1995,4,17,14.000000000000002
South Africa,Capetown,1995-04-18,1995,4,18,15.0
South Africa,Capetown,1995-04-19,1995,4,19,13.666666666666666
South Africa,Capetown,1995-04-20,1995,4,20,14.77777777777778
South Africa,Capetown,1995-04-21,1995,4,21,15.166666666666666
South Africa,Capetown,1995-04-22,1995,4,22,15.333333333333334
South Africa,Capetown,1995-04-23,1995,4,23,15.0
South Africa,Capetown,1995-04-24,1995,4,24,14.61111111111111
South Africa,Capetown,1995-04-25,1995,4,25,12.611111111111112
South Africa,Capetown,1995-04-26,1995,4,26,12.388888888888888
South Africa,Capetown,1995-04-27,1995,4,27,13.61111111111111
South Africa,Capetown,1995-04-28,1995,4,28,15.22222222222222
South Africa,Capetown,1995-04-29,1995,4,29,15.11111111111111
South Africa,Capetown,1995-04-30,1995,4,30,15.944444444444445
South Africa,Capetown,1995-05-01,1995,5,1,15.666666666666666
South Africa,Capetown,1995-05-02,1995,5,2,14.5
South Africa,Capetown,1995-05-03,1995,5,3,16.166666666666668
South Africa,Capetown,1995-05-04,1995,5,4,15.5
South Africa,Capetown,1995-05-05,1995,5,5,13.499999999999998
South Africa,Capetown,1995-05-06,1995,5,6,14.166666666666666
South Africa,Capetown,1995-05-07,1995,5,7,13.61111111111111
South Africa,Capetown,1995-05-08,1995,5,8,15.22222222222222
South Africa,Capetown,1995-05-09,1995,5,9,14.833333333333334
South Africa,Capetown,1995-05-10,1995,5,10,13.0
South Africa,Capetown,1995-05-11,1995,5,11,14.555555555555555
South Africa,Capetown,1995-05-12,1995,5,12,15.72222222222222
South Africa,Capetown,1995-05-13,1995,5,13,14.27777777777778
South Africa,Capetown,1995-05-14,1995,5,14,17.555555555555557
South Africa,Capetown,1995-05-15,1995,5,15,17.72222222222222
South Africa,Capetown,1995-05-16,1995,5,16,15.88888888888889
South Africa,Capetown,1995-05-17,1995,5,17,15.555555555555555
South Africa,Capetown,1995-05-18,1995,5,18,15.5
South Africa,Capetown,1995-05-19,1995,5,19,19.5
South Africa,Capetown,1995-05-20,1995,5,20,14.61111111111111
South Africa,Capetown,1995-05-21,1995,5,21,10.72222222222222
South Africa,Capetown,1995-05-22,1995,5,22,10.61111111111111
South Africa,Capetown,1995-05-23,1995,5,23,13.27777777777778
South Africa,Capetown,1995-05-24,1995,5,24,14.833333333333334
South Africa,Capetown,1995-05-25,1995,5,25,13.555555555555555
South Africa,Capetown,1995-05-26,1995,5,26,14.555555555555555
South Africa,Capetown,1995-05-27,1995,5,27,15.88888888888889
South Africa,Capetown,1995-05-28,1995,5,28,17.5
South Africa,Capetown,1995-05-29,1995,5,29,16.666666666666668
South Africa,Capetown,1995-05-30,1995,5,30,14.055555555555554
South Africa,Capetown,1995-05-31,1995,5,31,10.388888888888893
South Africa,Capetown,1995-06-01,1995,6,1,10.0
South Africa,Capetown,1995-06-02,1995,6,2,11.277777777777777
South Africa,Capetown,1995-06-03,1995,6,3,16.055555555555557
South Africa,Capetown,1995-06-04,1995,6,4,13.11111111111111
South Africa,Capetown,1995-06-05,1995,6,5,9.38888888888889
South Africa,Capetown,1995-06-06,1995,6,6,10.77777777777778
South Africa,Capetown,1995-06-07,1995,6,7,12.111111111111107
South Africa,Capetown,1995-06-08,1995,6,8,14.61111111111111
South Africa,Capetown,1995-06-09,1995,6,9,14.333333333333334
South Africa,Capetown,1995-06-10,1995,6,10,13.61111111111111
South Africa,Capetown,1995-06-11,1995,6,11,11.72222222222222
South Africa,Capetown,1995-06-12,1995,6,12,10.388888888888893
South Africa,Capetown,1995-06-13,1995,6,13,13.0
South Africa,Capetown,1995-06-14,1995,6,14,12.0
South Africa,Capetown,1995-06-15,1995,6,15,12.111111111111107
South Africa,Capetown,1995-06-16,1995,6,16,12.27777777777778
South Africa,Capetown,1995-06-17,1995,6,17,11.944444444444445
South Africa,Capetown,1995-06-18,1995,6,18,12.166666666666666
South Africa,Capetown,1995-06-19,1995,6,19,12.944444444444445
South Africa,Capetown,1995-06-20,1995,6,20,13.666666666666666
South Africa,Capetown,1995-06-21,1995,6,21,12.055555555555555
South Africa,Capetown,1995-06-22,1995,6,22,13.666666666666666
South Africa,Capetown,1995-06-23,1995,6,23,12.111111111111107
South Africa,Capetown,1995-06-24,1995,6,24,11.944444444444445
South Africa,Capetown,1995-06-25,1995,6,25,11.88888888888889
South Africa,Capetown,1995-06-26,1995,6,26,13.666666666666666
South Africa,Capetown,1995-06-27,1995,6,27,13.0
South Africa,Capetown,1995-06-28,1995,6,28,13.555555555555555
South Africa,Capetown,1995-06-29,1995,6,29,13.61111111111111
South Africa,Capetown,1995-06-30,1995,6,30,12.833333333333334
South Africa,Capetown,1995-07-01,1995,7,1,12.166666666666666
South Africa,Capetown,1995-07-02,1995,7,2,11.166666666666666
South Africa,Capetown,1995-07-03,1995,7,3,11.055555555555555
South Africa,Capetown,1995-07-04,1995,7,4,10.333333333333334
South Africa,Capetown,1995-07-05,1995,7,5,10.166666666666664
South Africa,Capetown,1995-07-06,1995,7,6,10.388888888888893
South Africa,Capetown,1995-07-07,1995,7,7,11.833333333333332
South Africa,Capetown,1995-07-08,1995,7,8,11.72222222222222
South Africa,Capetown,1995-07-09,1995,7,9,13.722222222222223
South Africa,Capetown,1995-07-10,1995,7,10,12.111111111111107
South Africa,Capetown,1995-07-11,1995,7,11,10.27777777777778
South Africa,Capetown,1995-07-12,1995,7,12,10.0
South Africa,Capetown,1995-07-13,1995,7,13,8.333333333333334
South Africa,Capetown,1995-07-14,1995,7,14,10.388888888888893
South Africa,Capetown,1995-07-15,1995,7,15,12.611111111111112
South Africa,Capetown,1995-07-16,1995,7,16,12.72222222222222
South Africa,Capetown,1995-07-17,1995,7,17,9.166666666666666
South Africa,Capetown,1995-07-18,1995,7,18,8.055555555555555
South Africa,Capetown,1995-07-19,1995,7,19,9.888888888888888
South Africa,Capetown,1995-07-20,1995,7,20,11.555555555555554
South Africa,Capetown,1995-07-21,1995,7,21,10.5
South Africa,Capetown,1995-07-22,1995,7,22,7.555555555555555
South Africa,Capetown,1995-07-23,1995,7,23,8.38888888888889
South Africa,Capetown,1995-07-24,1995,7,24,9.38888888888889
South Africa,Capetown,1995-07-25,1995,7,25,9.555555555555555
South Africa,Capetown,1995-07-26,1995,7,26,11.222222222222223
South Africa,Capetown,1995-07-27,1995,7,27,10.77777777777778
South Africa,Capetown,1995-07-28,1995,7,28,11.833333333333332
South Africa,Capetown,1995-07-29,1995,7,29,13.38888888888889
South Africa,Capetown,1995-07-30,1995,7,30,12.833333333333334
South Africa,Capetown,1995-07-31,1995,7,31,13.722222222222223
South Africa,Capetown,1995-08-01,1995,8,1,13.38888888888889
South Africa,Capetown,1995-08-02,1995,8,2,12.166666666666666
South Africa,Capetown,1995-08-03,1995,8,3,13.22222222222222
South Africa,Capetown,1995-08-04,1995,8,4,12.5
South Africa,Capetown,1995-08-05,1995,8,5,9.38888888888889
South Africa,Capetown,1995-08-06,1995,8,6,10.61111111111111
South Africa,Capetown,1995-08-07,1995,8,7,12.611111111111112
South Africa,Capetown,1995-08-08,1995,8,8,12.27777777777778
South Africa,Capetown,1995-08-09,1995,8,9,12.333333333333336
South Africa,Capetown,1995-08-10,1995,8,10,11.500000000000002
South Africa,Capetown,1995-08-11,1995,8,11,11.61111111111111
South Africa,Capetown,1995-08-12,1995,8,12,12.833333333333334
South Africa,Capetown,1995-08-13,1995,8,13,14.61111111111111
South Africa,Capetown,1995-08-14,1995,8,14,13.777777777777777
South Africa,Capetown,1995-08-15,1995,8,15,16.22222222222222
South Africa,Capetown,1995-08-16,1995,8,16,17.166666666666668
South Africa,Capetown,1995-08-17,1995,8,17,13.777777777777777
South Africa,Capetown,1995-08-18,1995,8,18,12.944444444444445
South Africa,Capetown,1995-08-19,1995,8,19,12.333333333333336
South Africa,Capetown,1995-08-20,1995,8,20,12.5
South Africa,Capetown,1995-08-21,1995,8,21,10.72222222222222
South Africa,Capetown,1995-08-22,1995,8,22,10.27777777777778
South Africa,Capetown,1995-08-23,1995,8,23,8.666666666666666
South Africa,Capetown,1995-08-24,1995,8,24,10.88888888888889
South Africa,Capetown,1995-08-25,1995,8,25,11.61111111111111
South Africa,Capetown,1995-08-26,1995,8,26,11.72222222222222
South Africa,Capetown,1995-08-27,1995,8,27,11.277777777777777
South Africa,Capetown,1995-08-28,1995,8,28,10.333333333333334
South Africa,Capetown,1995-08-29,1995,8,29,12.388888888888888
South Africa,Capetown,1995-08-30,1995,8,30,11.555555555555554
South Africa,Capetown,1995-08-31,1995,8,31,11.666666666666666
South Africa,Capetown,1995-09-01,1995,9,1,13.38888888888889
South Africa,Capetown,1995-09-02,1995,9,2,12.27777777777778
South Africa,Capetown,1995-09-03,1995,9,3,12.388888888888888
South Africa,Capetown,1995-09-04,1995,9,4,13.333333333333334
South Africa,Capetown,1995-09-05,1995,9,5,12.22222222222222
South Africa,Capetown,1995-09-06,1995,9,6,14.000000000000002
South Africa,Capetown,1995-09-07,1995,9,7,13.833333333333334
South Africa,Capetown,1995-09-08,1995,9,8,13.055555555555555
South Africa,Capetown,1995-09-09,1995,9,9,14.333333333333334
South Africa,Capetown,1995-09-10,1995,9,10,13.333333333333334
South Africa,Capetown,1995-09-11,1995,9,11,13.722222222222223
South Africa,Capetown,1995-09-12,1995,9,12,14.5
South Africa,Capetown,1995-09-13,1995,9,13,15.27777777777778
South Africa,Capetown,1995-09-14,1995,9,14,17.22222222222222
South Africa,Capetown,1995-09-15,1995,9,15,15.5
South Africa,Capetown,1995-09-16,1995,9,16,16.333333333333332
South Africa,Capetown,1995-09-17,1995,9,17,14.38888888888889
South Africa,Capetown,1995-09-18,1995,9,18,14.27777777777778
South Africa,Capetown,1995-09-19,1995,9,19,14.166666666666666
South Africa,Capetown,1995-09-20,1995,9,20,14.11111111111111
South Africa,Capetown,1995-09-21,1995,9,21,17.88888888888889
South Africa,Capetown,1995-09-22,1995,9,22,18.38888888888889
South Africa,Capetown,1995-09-23,1995,9,23,14.72222222222222
South Africa,Capetown,1995-09-24,1995,9,24,14.833333333333334
South Africa,Capetown,1995-09-25,1995,9,25,14.666666666666666
South Africa,Capetown,1995-09-26,1995,9,26,14.27777777777778
South Africa,Capetown,1995-09-27,1995,9,27,13.444444444444446
South Africa,Capetown,1995-09-28,1995,9,28,12.5
South Africa,Capetown,1995-09-29,1995,9,29,13.27777777777778
South Africa,Capetown,1995-09-30,1995,9,30,13.833333333333334
South Africa,Capetown,1995-10-01,1995,10,1,15.27777777777778
South Africa,Capetown,1995-10-02,1995,10,2,15.333333333333334
South Africa,Capetown,1995-10-03,1995,10,3,14.833333333333334
South Africa,Capetown,1995-10-04,1995,10,4,14.22222222222222
South Africa,Capetown,1995-10-05,1995,10,5,13.055555555555555
South Africa,Capetown,1995-10-06,1995,10,6,13.833333333333334
South Africa,Capetown,1995-10-07,1995,10,7,13.666666666666666
South Africa,Capetown,1995-10-08,1995,10,8,13.166666666666668
South Africa,Capetown,1995-10-09,1995,10,9,14.166666666666666
South Africa,Capetown,1995-10-10,1995,10,10,15.22222222222222
South Africa,Capetown,1995-10-11,1995,10,11,14.166666666666666
South Africa,Capetown,1995-10-12,1995,10,12,12.666666666666664
South Africa,Capetown,1995-10-13,1995,10,13,12.666666666666664
South Africa,Capetown,1995-10-14,1995,10,14,13.444444444444446
South Africa,Capetown,1995-10-15,1995,10,15,18.38888888888889
South Africa,Capetown,1995-10-16,1995,10,16,16.333333333333332
South Africa,Capetown,1995-10-17,1995,10,17,15.055555555555555
South Africa,Capetown,1995-10-18,1995,10,18,14.055555555555554
South Africa,Capetown,1995-10-19,1995,10,19,15.166666666666666
South Africa,Capetown,1995-10-20,1995,10,20,14.77777777777778
South Africa,Capetown,1995-10-21,1995,10,21,14.333333333333334
South Africa,Capetown,1995-10-22,1995,10,22,13.166666666666668
South Africa,Capetown,1995-10-23,1995,10,23,15.444444444444445
South Africa,Capetown,1995-10-24,1995,10,24,13.833333333333334
South Africa,Capetown,1995-10-25,1995,10,25,11.666666666666666
South Africa,Capetown,1995-10-26,1995,10,26,12.388888888888888
South Africa,Capetown,1995-10-27,1995,10,27,15.055555555555555
South Africa,Capetown,1995-10-28,1995,10,28,17.22222222222222
South Africa,Capetown,1995-10-29,1995,10,29,19.0
South Africa,Capetown,1995-10-30,1995,10,30,21.22222222222222
South Africa,Capetown,1995-10-31,1995,10,31,22.722222222222225
South Africa,Capetown,1995-11-01,1995,11,1,17.83333333333333
South Africa,Capetown,1995-11-02,1995,11,2,16.166666666666668
South Africa,Capetown,1995-11-03,1995,11,3,15.22222222222222
South Africa,Capetown,1995-11-04,1995,11,4,13.833333333333334
South Africa,Capetown,1995-11-05,1995,11,5,16.61111111111111
South Africa,Capetown,1995-11-06,1995,11,6,18.33333333333333
South Africa,Capetown,1995-11-07,1995,11,7,17.555555555555557
South Africa,Capetown,1995-11-08,1995,11,8,16.77777777777778
South Africa,Capetown,1995-11-09,1995,11,9,18.944444444444443
South Africa,Capetown,1995-11-10,1995,11,10,17.666666666666668
South Africa,Capetown,1995-11-11,1995,11,11,17.22222222222222
South Africa,Capetown,1995-11-12,1995,11,12,18.111111111111107
South Africa,Capetown,1995-11-13,1995,11,13,18.55555555555556
South Africa,Capetown,1995-11-14,1995,11,14,18.88888888888889
South Africa,Capetown,1995-11-15,1995,11,15,20.166666666666668
South Africa,Capetown,1995-11-16,1995,11,16,17.22222222222222
South Africa,Capetown,1995-11-17,1995,11,17,19.61111111111111
South Africa,Capetown,1995-11-18,1995,11,18,21.83333333333333
South Africa,Capetown,1995-11-19,1995,11,19,22.16666666666667
South Africa,Capetown,1995-11-20,1995,11,20,22.5
South Africa,Capetown,1995-11-21,1995,11,21,21.77777777777778
South Africa,Capetown,1995-11-22,1995,11,22,20.666666666666668
South Africa,Capetown,1995-11-23,1995,11,23,16.72222222222222
South Africa,Capetown,1995-11-24,1995,11,24,16.61111111111111
South Africa,Capetown,1995-11-25,1995,11,25,17.0
South Africa,Capetown,1995-11-26,1995,11,26,18.5
South Africa,Capetown,1995-11-27,1995,11,27,20.611111111111107
South Africa,Capetown,1995-11-28,1995,11,28,18.944444444444443
South Africa,Capetown,1995-11-29,1995,11,29,14.055555555555554
South Africa,Capetown,1995-11-30,1995,11,30,15.0
South Africa,Capetown,1995-12-01,1995,12,1,17.666666666666668
South Africa,Capetown,1995-12-02,1995,12,2,18.944444444444443
South Africa,Capetown,1995-12-03,1995,12,3,22.05555555555556
South Africa,Capetown,1995-12-04,1995,12,4,20.055555555555557
South Africa,Capetown,1995-12-05,1995,12,5,21.22222222222222
South Africa,Capetown,1995-12-06,1995,12,6,20.444444444444443
South Africa,Capetown,1995-12-07,1995,12,7,20.666666666666668
South Africa,Capetown,1995-12-08,1995,12,8,22.27777777777777
